id,name,description,zip_code,neighborhood,latitude,longitude,property_type,room_type,n_accommodates,n_bathrooms,n_bedrooms,n_beds,amenities,price,minimum_nights,maximum_nights,availability_365,n_reviews,first_review,last_review,n_reviews_per_month,score_rating,score_cleanliness,score_location,score_value,host_id,host_name,host_since,host_is_superhost,host_n_listings,url_listing,url_picture
l_155305,Cottage! BonPaul + Sharky's Hostel,"West Asheville Cottage within walking distance of shops,  pubs, bakery, cafes, music, and breweries",28806,West Asheville,35.57864,-82.59578,Entire guesthouse,Entire home/apt,2,1,1,1,Air conditioning;Pets allowed;Heating;Iron;Extra pillows and blankets;Cooking basics;Essentials;Shampoo;Dedicated workspace;Refrigerator;Hot water;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Free street parking;Keypad;Bed linens;Stove;Microwave;Wifi;Hangers;Fire extinguisher;Coffee maker;Self check-in;Oven;Free parking on premises;Smoke alarm;Patio or balcony,95,1,365,162,454,2011-07-31,2025-06-14,2.69,4.62,4.45,4.92,4.58,h_746673,BonPaul,2011-06-26,TRUE,8,https://www.airbnb.com/rooms/155305,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU1MzA1/original/1e09d79f-b590-436a-bdbb-c844fdf2c5e2.jpeg
l_197263,Tranquil Room & Private Bath,"This is a comfy, peaceful and clean room with off street parking for one car. The guest room has wood floors, a large window, a small desk, chair, and a queen-size bed with extra pillows and blankets. The closet has shelves and hangers for storage, and there is a luggage rack to use. 1st floor access with no steps. Linens and towels provided. High speed Wi-Fi is ATT fiber 300mbs.",28806,West Asheville,35.57735,-82.63804,Private room in home,Private room,2,1,1,1,First aid kit;Shared backyard – Fully fenced;Cleaning products;Air conditioning;Fire pit;Drying rack for clothing;Blender;Heating;Conditioner;Room-darkening shades;Board games;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Cooking basics;Essentials;Bathtub;Shampoo;Dedicated workspace;Refrigerator;Shower gel;Single level home;Hot water;Dishes and silverware;Hair dryer;Kitchen;Free street parking;Dryer;Ceiling fan;Bed linens;Microwave;Wifi;Coffee;Hangers;Books and reading material;Fire extinguisher;Clothing storage: closet;Electric stove;Dining table;Oven;Washer;Outdoor furniture;Shared patio or balcony;Body soap;Free parking on premises;Smoke alarm,44,2,2,73,87,2012-08-06,2024-09-08,0.56,4.95,4.99,4.86,4.98,h_961396,Timothy,2011-08-12,TRUE,2,https://www.airbnb.com/rooms/197263,https://a0.muscache.com/pictures/miso/Hosting-197263/original/b0db6064-8a13-47fd-8c76-861ffda8d4dc.jpeg
l_209068,Terrace Cottage,"Located in one of Asheville's oldest historic districts, walkable to UNC-Asheville, the Omni Grove Park Inn, restaurants, wine shops, markets, greenways, parks and more! Downtown is walkable on well-lit sidewalks (under 2 miles), a 5-min drive away.",28804,South Asheville,35.61764144897461,-82.55181884765625,Entire guest suite,Entire home/apt,4,1,1,2,Cleaning products;Luggage dropoff allowed;Heating;Iron;Extra pillows and blankets;Wine glasses;Barbecue utensils;Cooking basics;Essentials;Shampoo;HDTV with premium cable;Dedicated workspace;Refrigerator;Dishwasher;Hot water;Baking sheet;Dishes and silverware;Clothing storage: walk-in closet;Private entrance;Hair dryer;Kitchen;Dryer;Ceiling fan;Bed linens;Carbon monoxide alarm;Stove;Microwave;Wifi;Hangers;BBQ grill;Books and reading material;Fire extinguisher;Long term stays allowed;Central air conditioning;Coffee maker;Private patio or balcony;Dining table;Oven;Washer;Free parking on premises;Smoke alarm;Baby safety gates,90,30,360,268,67,2011-09-19,2025-05-03,0.4,4.89,4.85,4.94,4.8,h_1029919,Kevin,2011-08-28,TRUE,1,https://www.airbnb.com/rooms/209068,https://a0.muscache.com/pictures/1829924/9f3bf225_original.jpg
l_246315,Asheville Dreamer's Cabin,"Hi there,<br />I am usually here half of each month cause I travel for my business.  Please ask if  need those dates. The cabin is very cozy but also provides privacy and separate baths. <br />Safe and close to downtown Asheville!<br />Annie",28805,East Asheville,35.59615,-82.50635,Private room in cabin,Private room,2,1,1,1,First aid kit;Air conditioning;Heating;TV with standard cable;Iron;Extra pillows and blankets;Cooking basics;Essentials;Refrigerator;Dishwasher;Hot water;Dishes and silverware;Kitchen;Dryer;Bed linens;Carbon monoxide alarm;Stove;Microwave;Wifi;Fire extinguisher;Backyard;Coffee maker;Oven;Washer;Free parking on premises;Smoke alarm,61,7,365,62,53,2011-11-28,2019-10-30,0.32,4.66,4.57,4.67,4.59,h_1292070,Annie,2011-10-14,FALSE,3,https://www.airbnb.com/rooms/246315,https://a0.muscache.com/pictures/5908617/cfe79153_original.jpg
l_314540,Asheville Urban Farmhouse Entire Home 4.6 mi to DT,"Farmhouse in the city is OPEN! This charming 1940’s stone farmhouse has all the old world ambiance w/modern amenities set in a peaceful, relaxed setting perfect for connecting with family & friends.",28806,West Asheville,35.58561,-82.62731,Entire cottage,Entire home/apt,6,2,4,5,First aid kit;Coffee maker: drip coffee maker;Cleaning products;Luggage dropoff allowed;Fire pit;Outlet covers;Pets allowed;Children’s books and toys;Heating;Smoke alarm;Board games;Gas stove;Free driveway parking on premises – 8 spaces;Garden view;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Barbecue utensils;Cooking basics;Essentials;Bathtub;Dedicated workspace;Indoor fireplace;Refrigerator;Dishwasher;Hot water;Baking sheet;Exercise equipment;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Keypad;Dryer;Pack ’n play/Travel crib - always at the listing;Liquid body soap;Bed linens;Ceiling fan;Liquid shampoo;Carbon monoxide alarm;Wifi;TV;Hangers;Coffee;BBQ grill;Books and reading material;Fire extinguisher;Clothing storage: closet;Liquid conditioner;Central air conditioning;Courtyard view;Freezer;Private patio or balcony;Self check-in;Dining table;Toaster;Oven;Washer;Outdoor furniture;Outdoor dining area;Mountain view;Private backyard,200,1,30,139,35,2012-03-09,2025-06-13,0.22,4.97,4.91,4.91,4.94,h_381660,Tom,2011-02-07,TRUE,1,https://www.airbnb.com/rooms/314540,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzE0NTQw/original/c482fc96-28d2-4c03-a178-67c27cc5e281.jpeg
l_427497,Luxurious Mountain Guest Suite Apartment,"Escape to our beautifully furnished luxurious apartment Guest Suite ideally located in a private gated community in Keswick Hills, in south Asheville, NC for the most discriminating travelers.",28803,Tuxedo Park,35.49088,-82.48602,Entire guest suite,Entire home/apt,2,1,1,1,Air conditioning;Heating;TV with standard cable;Iron;Host greets you;Cooking basics;Essentials;Shampoo;Indoor fireplace;Hot water;Dishes and silverware;Hair dryer;Kitchen;Dryer;Carbon monoxide alarm;Wifi;Hangers;Fire extinguisher;Washer;Free parking on premises;Smoke alarm,148,2,90,362,47,2012-10-30,2023-09-04,0.31,4.98,5,4.93,4.89,h_1909922,Milan,2012-03-12,FALSE,1,https://www.airbnb.com/rooms/427497,https://a0.muscache.com/pictures/4980195/acf66919_original.jpg
l_436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN","Historic neighborhood--walking distance to downtown, Wholefoodsand Trader Joe’s! Come enjoy our beautiful apartment and see what great things Asheville has to offer.",28801,Downtown Asheville,35.60153,-82.5604,Entire guest suite,Entire home/apt,3,,1,,"First aid kit;Cleaning products;Central heating;Luggage dropoff allowed;Blender;Children’s books and toys;TV with Netflix, Roku;Conditioner;Coffee maker: drip coffee maker, Keurig coffee machine;Extra pillows and blankets;Wine glasses;Cooking basics;Essentials;Bathtub;Shampoo;Fast wifi – 243 Mbps;Shower gel;Refrigerator;Single level home;Dishwasher;Hot water;Baking sheet;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Private backyard – Not fully fenced;Bed linens;Carbon monoxide alarm;Stove;Microwave;Coffee;Hangers;Lockbox;Long term stays allowed;Fire extinguisher;Free dryer – In unit;Central air conditioning;Freezer;Private patio or balcony;Self check-in;Babysitter recommendations;Oven;Toaster;Body soap;Clothing storage: closet and dresser;Washer – In unit;Free parking on premises;Smoke alarm;Pack ’n play/Travel crib - available upon request",,2,60,0,410,2012-06-04,2024-06-26,2.58,4.9,4.93,4.87,4.83,h_478398,Heidi,2011-04-02,TRUE,3,https://www.airbnb.com/rooms/436476,https://a0.muscache.com/pictures/pro_photo_tool/Hosting-436476-unapproved/original/177bcf78-c363-4071-bba9-10f2721710b2.JPEG
l_483384,"Romantic, Moroccan-Influenced Cottage","One of a kind artist owned and designed cottage in heart of East-West Asheville. Walkable to restaurants/shops, 2 miles from downtown and 5 minutes to Biltmore Estate. TWO beds total. <br /><br />The cottage has a Moroccan vibe and includes handmade pottery, art, and textiles. Walls are clay plaster and all bedding is cotton.  Eco friendly cleaning supplies used. <br /> <br />Try the outdoor tub for hot bath also! <br /><br />Parking is on Bradley street in front of the cottage or main house.",28806,West Asheville,35.56921,-82.57349,Entire cottage,Entire home/apt,3,1,1,1,"First aid kit;Luggage dropoff allowed;Fire pit;Heating;Room-darkening shades;Board games;Garden view;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;AC - split type ductless system;Cooking basics;Essentials;Shampoo;Dedicated workspace;Refrigerator;Hot water;Cosmo  gas stove;Exercise equipment;Dishes and silverware;Baking sheet;Private entrance;Hair dryer;Kitchen;Free street parking;Private gym nearby;Keypad;Ceiling fan;Bed linens;Pocket wifi;Carbon monoxide alarm;Microwave;Wifi;Coffee;Hangers;BBQ grill;Long term stays allowed;Fire extinguisher;Private backyard – Fully fenced;Coffee maker;Freezer;Self check-in;Ethernet connection;Dining table;Oven;Outdoor furniture;Body soap;TV with Hulu, HBO Max, Amazon Prime Video, Netflix;Smoke alarm;Patio or balcony",107,1,30,293,820,2014-09-29,2025-06-14,6.28,4.98,4.98,4.91,4.93,h_467421,Camille,2011-03-27,TRUE,2,https://www.airbnb.com/rooms/483384,https://a0.muscache.com/pictures/airflow/Hosting-483384/original/9188e939-e998-4157-8110-d1b54a2dc96e.jpg
l_483396,Frida Inspired Home,"Mexico (specifically) Frida Kahlo inspired home was designed by artist and owner. This vibrant blue stucco home is walking distance to West Asheville's best restaurants, and two miles from downtown. 5 star restaurant, The Admiral and Leo’s are a three- five minute drive. Walk to Owl Bakery, Hole, and Taco Billy. The house has been written up in multiple well known magazines/ blogs. Truly an urban retreat. 2 miles from downtown. Clawfoot bathtub with hot water to enjoy.",28806,West Asheville,35.57039,-82.57359,Entire home,Entire home/apt,2,2,1,1,"Shared backyard – Fully fenced;Cleaning products;Air conditioning;Fire pit;Blender;Heating;Conditioner;Room-darkening shades;Board games;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Cooking basics;Essentials;Shampoo;Dedicated workspace;Refrigerator;Shower gel;Hot water;Baking sheet;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Dryer;Ceiling fan;Bed linens;Carbon monoxide alarm;Microwave;Wifi;TV;Hangers;Coffee maker: drip coffee maker, french press;Coffee;Lockbox;Fire extinguisher;Clothing storage: closet;Outdoor shower;Freezer;Self check-in;Dining table;Toaster;Outdoor furniture;Body soap;Smoke alarm",143,2,31,224,70,2012-05-29,2015-10-03,0.44,4.9,4.9,4.7,4.84,h_467421,Camille,2011-03-27,TRUE,2,https://www.airbnb.com/rooms/483396,https://a0.muscache.com/pictures/miso/Hosting-483396/original/79ea2603-9a79-490f-9b9f-1535e20e89fd.jpeg
l_621243,The Birdhouse Sweet suite! Downtown Roof top deck!,"Sweet loft apartment just north of downtown. Walkable. Roof top deck and gardens. Custom tile work, earthen clay plasters and beautiful lighting. Near yoga studio, cafes and grocery stores. Private oasis in downtown Asheville. Blackout curtains on all windows. New bamboo foam charcoal bed!",28801,Downtown Asheville,35.60415,-82.54893,Entire rental unit,Entire home/apt,2,1,1,2,"Mini fridge;Valley view;Cleaning products;Luggage dropoff allowed;Fire pit;Pets allowed;Blender;Children’s books and toys;Heating;Conditioner;Room-darkening shades;Board games;Smoke alarm;Garden view;Resort view;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;AC - split type ductless system;Cooking basics;Essentials;Bathtub;Shampoo;Dedicated workspace;Refrigerator;Shower gel;HDTV with Netflix;Hot water;Dishes and silverware;Shared backyard – Not fully fenced;Private entrance;Hair dryer;Free street parking;Keypad;Ceiling fan;Bed linens;Kitchenette;Carbon monoxide alarm;Natural products  body soap;Microwave;Coffee;Hangers;Exterior security cameras on property;Books and reading material;Fire extinguisher;Long term stays allowed;Clothing storage: walk-in closet, closet, and dresser;Children’s dinnerware;Cleaning available during stay;Fast wifi – 516 Mbps;Coffee maker;Outdoor playground;Freezer;Private patio or balcony;Dining table;Toaster;Outdoor furniture;Self check-in;Hammock;Laundromat nearby;Free parking on premises;Mountain view;Baby safety gates",143,30,1125,256,146,2018-03-21,2024-08-21,1.66,4.82,4.75,4.97,4.7,h_3079174,Molly,2012-07-28,TRUE,1,https://www.airbnb.com/rooms/621243,https://a0.muscache.com/pictures/fd26f75e-e0c6-458c-a44a-9d262468ebe3.jpg
