County,Population
Appling County,18426
Atkinson County,8261
Bacon County,11129
Baker County,2830
Baldwin County,43669
Banks County,18757
Barrow County,86982
Bartow County,111153
Ben Hill County,17138
Berrien County,18257
Bibb County,156543
Bleckley County,12414
Brantley County,18171
Brooks County,16285
Bryan County,46681
Bulloch County,81372
Burke County,24427
Butts County,26074
Calhoun County,5528
Camden County,56036
Candler County,10972
Carroll County,122187
Catoosa County,68356
Charlton County,12711
Chatham County,298143
Chattahoochee County,9181
Chattooga County,24975
Cherokee County,274539
Clarke County,129267
Clay County,2853
Clayton County,298771
Clinch County,6722
Cobb County,769152
Coffee County,43161
Colquitt County,45907
Columbia County,159638
Cook County,17363
Coweta County,150071
Crawford County,12183
Crisp County,19995
Dade County,16196
Dawson County,28704
Decatur County,29118
Dekalb County,762105
Dodge County,19909
Dooly County,11026
Dougherty County,83915
Douglas County,146141
Early County,10683
Echols County,3705
Effingham County,67265
Elbert County,19725
Emanuel County,22961
Evans County,10740
Fannin County,25605
Fayette County,120689
Floyd County,98985
Forsyth County,260062
Franklin County,23840
Fulton County,1068507
Gilmer County,31976
Glascock County,2913
Glynn County,84987
Gordon County,58336
Grady County,26056
Greene County,19586
Gwinnett County,966972
Habersham County,46948
Hall County,208395
Hancock County,8630
Haralson County,30720
Harris County,35509
Hart County,26484
Heard County,11616
Henry County,245417
Houston County,166902
Irwin County,9385
Jackson County,80640
Jasper County,15345
Jeff Davis County,14838
Jefferson County,15468
Jenkins County,8674
Johnson County,9192
Jones County,28526
Lamar County,19098
Lanier County,10094
Laurens County,49619
Lee County,33337
Liberty County,66826
Lincoln County,7773
Long County,17512
Lowndes County,119055
Lumpkin County,33931
McDuffie County,21687
McIntosh County,11187
Macon County,11953
Madison County,30914
Marion County,7474
Meriwether County,20757
Miller County,5873
Mitchell County,21441
Monroe County,28919
Montgomery County,8675
Morgan County,20614
Murray County,40282
Muscogee County,204383
Newton County,115530
Oconee County,42788
Oglethorpe County,15221
Paulding County,174292
Peach County,28269
Pickens County,34197
Pierce County,19996
Pike County,19540
Polk County,43365
Pulaski County,9893
Putnam County,22524
Quitman County,2092
Rabun County,17107
Randolph County,6270
Richmond County,206040
Rockdale County,94293
Schley County,4539
Screven County,14057
Seminole County,9117
Spalding County,68215
Stephens County,26842
Stewart County,4978
Sumter County,29174
Talbot County,5753
Taliaferro County,1740
Tattnall County,24215
Taylor County,7786
Telfair County,12174
Terrell County,8941
Thomas County,45696
Tift County,41322
Toombs County,26943
Towns County,12739
Treutlen County,6387
Troup County,69821
Turner County,8915
Twiggs County,7869
Union County,25598
Upson County,27856
Walker County,68449
Walton County,100361
Ware County,35958
Warren County,5175
Washington County,19893
Wayne County,30519
Webster County,2348
Wheeler County,7434
White County,28454
Whitfield County,103118
Wilcox County,8784
Wilkes County,9553
Wilkinson County,8795
Worth County,20575
